desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long,desc/placeName/_ref
Mayerling,1,48.04469,16.09694,http://www.geonames.org/2771734/
Hamburg,7,53.57532,10.01534,http://www.geonames.org/2911298/
Lübeck,2,53.86893,10.68729,http://www.geonames.org/2875601/
Stavanger,1,58.97005,5.73332,http://www.geonames.org/3137115/
Odde,1,59.10243,7.52135,
Bergen,1,60.39299,5.32415,http://www.geonames.org/3161732/
Vossevangen,1,60.62869,6.41474,http://www.geonames.org/3131329/
Stalheim,1,60.83626,6.6799,http://www.geonames.org/9535738/
Gudvangen,1,60.87773,6.83795,http://www.geonames.org/3154563/
Oie,1,54.24364,13.91097,http://www.geonames.org/2857537/
Norangthal,1,62.18333,6.73333,http://www.geonames.org/3144481/
Hellesylt,1,62.08549,6.86769,http://www.geonames.org/3153057/
Naes,1,55.05348,11.83264,http://www.geonames.org/3144776/
Trondhjem,2,63.43049,10.39506,http://www.geonames.org/3133880/
Torghatten,1,63.94082,10.0275,http://www.geonames.org/9714493/
Svartisengletscher,1,66.65895,13.93925,
Harstad,1,68.79833,16.54165,http://www.geonames.org/3153823/
Tromsö,1,69.6489,18.95508,http://www.geonames.org/3133895/
Hammerfest,1,70.66336,23.68209,http://www.geonames.org/779683/
Nordkap,1,70.75841,25.39294,
Lyngenfjord,1,64.36957,11.28901,http://www.geonames.org/3146678/
Namsos,1,64.46624,11.49572,http://www.geonames.org/3145023/
Christiania,2,55.67346,12.59765,http://www.geonames.org/2623186/
Stockholm,5,59.33258,18.0649,http://www.geonames.org/2673730/
Upsala,1,59.85882,17.63889,http://www.geonames.org/2666199/
Goeteborg,1,57.70716,11.96679,http://www.geonames.org/2711537/
Kopenhagen,10,55.67594,12.56553,http://www.geonames.org/2618425/
Skodsborg,2,55.8225,12.57324,http://www.geonames.org/2613685/
Hven,1,55.90806,12.69778,http://www.geonames.org/2663383/
Bodensee,2,49.06694,8.35278,http://www.geonames.org/2947111/
Fontainebleau,1,48.4,2.7,http://www.geonames.org/3018074/
Meudon,1,48.81381,2.235,http://www.geonames.org/2994144/
Vlissingen,1,51.4425,3.57361,http://www.geonames.org/2745392/
Hannover,1,52.37052,9.73322,http://www.geonames.org/2910831/
Pöchlarn,1,48.2,15.2,http://www.geonames.org/2768627/
Gaming,1,47.929,15.08818,http://www.geonames.org/2778949/
Scheibmühl,1,48.052635,15.611744,
Pamsenhof,1,48.13992,14.43037,
Mürzzuschlag,2,47.6,15.68333,http://www.geonames.org/2770993/
Krieglach,3,47.54728,15.56248,http://www.geonames.org/2773447/
Bruck an der Mur,2,47.41667,15.28333,http://www.geonames.org/2781371/
Friesach,1,46.95528,14.40583,http://www.geonames.org/2779229/
St. Veit,1,46.76806,14.36028,http://www.geonames.org/2766359/
Feldkirch,5,47.23306,9.6,http://www.geonames.org/2779674/
