,dates
630,1880-09-22
631,1880-09-23
632,1880-09-24
633,1880-09-25
634,1880-09-26
635,1880-09-27
636,1880-09-28
637,1880-09-29
638,1880-09-30
639,1880-10-01
640,1880-10-02
641,1880-10-03
642,1880-10-04
643,1880-10-05
644,1880-10-06
645,1880-10-07
646,1880-10-08
647,1880-10-09
648,1880-10-10
649,1880-10-11
650,1880-10-12
651,1880-10-13
652,1880-10-14
653,1880-10-15
654,1880-10-16
655,1880-10-17
656,1880-10-18
657,1880-10-19
658,1880-10-20
659,1880-10-21
660,1880-10-22
661,1880-10-23
662,1880-10-24
663,1880-10-25
664,1880-10-26
665,1880-10-27
666,1880-10-28
667,1880-10-29
668,1880-10-30
669,1880-10-31
670,1880-11-01
671,1880-11-02
672,1880-11-03
673,1880-11-04
674,1880-11-05
675,1880-11-06
676,1880-11-07
677,1880-11-08
678,1880-11-09
679,1880-11-10
680,1880-11-11
681,1880-11-12
682,1880-11-13
683,1880-11-14
684,1880-11-15
685,1880-11-16
686,1880-11-17
687,1880-11-18
688,1880-11-19
689,1880-11-20
690,1880-11-21
691,1880-11-22
692,1880-11-23
693,1880-11-24
694,1880-11-25
695,1880-11-26
696,1880-11-27
697,1880-11-28
698,1880-11-29
699,1880-11-30
700,1880-12-01
701,1880-12-02
702,1880-12-03
703,1880-12-04
704,1880-12-05
705,1880-12-06
706,1880-12-07
707,1880-12-08
708,1880-12-09
709,1880-12-10
710,1880-12-11
711,1880-12-12
712,1880-12-13
713,1880-12-14
714,1880-12-15
715,1880-12-16
716,1880-12-17
717,1880-12-18
718,1880-12-19
719,1880-12-20
720,1880-12-21
721,1880-12-22
722,1880-12-23
723,1880-12-24
724,1880-12-25
725,1880-12-26
726,1880-12-27
727,1880-12-28
728,1880-12-29
729,1880-12-30
730,1880-12-31
731,1881-01-01
732,1881-01-02
733,1881-01-03
734,1881-01-04
735,1881-01-05
736,1881-01-06
737,1881-01-07
738,1881-01-08
739,1881-01-09
740,1881-01-10
741,1881-01-11
742,1881-01-12
743,1881-01-13
744,1881-01-14
745,1881-01-15
746,1881-01-16
747,1881-01-17
748,1881-01-18
749,1881-01-19
750,1881-01-20
751,1881-01-21
752,1881-01-22
753,1881-01-23
754,1881-01-24
755,1881-01-25
756,1881-01-26
757,1881-01-27
758,1881-01-28
759,1881-01-29
760,1881-01-30
761,1881-01-31
762,1881-02-01
763,1881-02-02
764,1881-02-03
765,1881-02-04
766,1881-02-05
767,1881-02-06
768,1881-02-07
769,1881-02-08
770,1881-02-09
771,1881-02-10
772,1881-02-11
773,1881-02-12
774,1881-02-13
775,1881-02-14
776,1881-02-15
777,1881-02-16
778,1881-02-17
779,1881-02-18
780,1881-02-19
781,1881-02-20
782,1881-02-21
783,1881-02-22
784,1881-02-23
785,1881-02-24
786,1881-02-25
787,1881-02-26
788,1881-02-27
789,1881-02-28
790,1881-03-01
791,1881-03-02
792,1881-03-03
793,1881-03-04
794,1881-03-05
795,1881-03-06
796,1881-03-07
797,1881-03-08
798,1881-03-09
799,1881-03-10
800,1881-03-11
801,1881-03-12
802,1881-03-13
803,1881-03-14
804,1881-03-15
805,1881-03-16
806,1881-03-17
807,1881-03-18
808,1881-03-19
809,1881-03-20
810,1881-03-21
811,1881-03-22
812,1881-03-23
813,1881-03-24
814,1881-03-25
815,1881-03-26
816,1881-03-27
817,1881-03-28
818,1881-03-29
819,1881-03-30
820,1881-03-31
821,1881-04-01
822,1881-04-02
823,1881-04-03
824,1881-04-04
825,1881-04-05
826,1881-04-06
827,1881-04-07
828,1881-04-08
829,1881-04-09
830,1881-04-10
831,1881-04-11
832,1881-04-12
833,1881-04-13
834,1881-04-14
835,1881-04-15
836,1881-04-16
837,1881-04-17
838,1881-04-18
839,1881-04-19
840,1881-04-20
841,1881-04-21
842,1881-04-22
843,1881-04-23
844,1881-04-24
