desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long
Schreckenstein,1,50.63916,14.05081
Marienlyst,3,55.00186,11.92716
Hilleroed,1,55.92791,12.30081
Gilleleje,2,56.12196,12.31056
Hornbaek,1,56.08541,12.45049
Moelle,1,56.28333,12.5
Frederiksborg,1,55.93451,12.30041
Fredensborg,1,55.97558,12.40314
Weimar,2,50.9803,11.32903
Ilmenau,2,50.68322,10.91858
Oberhof,1,50.70435,10.72716
Eisenach,3,50.9807,10.31522
Woerthersee,1,46.62917,14.12306
Wocheiner See,1,46.28556,13.86194
Pressegger See,1,46.62694,13.44333
Spittal an der Drau,1,46.8,13.5
Seeboden,1,46.81909,13.5143
Innichen,3,46.7324,12.27855
Fischleinboden,1,46.666799,12.353684
Wildbad,1,46.7324,12.27855
Taisten,1,46.76891,12.11397
Oland,1,46.76027,12.02951
Bruneck,1,46.79942,11.93429
Grieser Thal,1,46.51667,11.33333
Ulrich,1,46.57603,11.67176
Wolkenstein,2,46.55472,11.76038
Sellajoch,1,46.50894,11.76241
Pordoi,2,46.48772,11.81358
Canazei,1,46.47627,11.76929
Naifthal,1,46.669302,11.209157
St. Valentin,1,46.664699,11.187927
Puchberg,1,47.78709,15.91352
Rodaun,1,48.13307,16.25839
Dachau,1,48.26,11.43402
Garmisch-Partenkirchen,16,47.49209,11.09576
Badersee,1,47.47399,11.01481
Eibsee,2,47.45601,10.97311
Mittenwald,1,47.4422,11.26187
Walchensee,1,47.59225,11.34685
Kochelsee,1,47.64448,11.34071
Isarthal,1,48.0563,11.5144
Salegg,1,46.53456,11.56208
Seis,3,46.54133,11.55868
Gossensass,4,46.93857,11.44245
Schlern,1,46.515412,11.574473
Berndorf,1,48.43333,14.21667
Veitsau,1,47.93333,16.1
St. Gilgen,3,47.76667,13.36667
Gruenbach,1,47.79747,15.98785
Hohe Wand,1,47.81564,16.03276
Hohenschwangau,1,47.55631,10.74085
Neuschwanstein,1,47.55718,10.74935
Bern,3,46.94809,7.44744
Trattenbach,1,47.6,15.86667
Aspang,3,47.55,16.08333
Moenichkirchen,2,47.51062,16.03425
Heidelberg,1,49.40768,8.69079
Darmstadt,1,49.87167,8.65027
Nervi,1,44.38333,9.03333
Rapallo,1,44.3496,9.22796
Portofino,1,44.30349,9.20942
Antibes,1,43.56241,7.12777
Ala,1,45.76072,11.00458
Travemuende,1,53.96304,10.8709
Blankenese,1,53.55698,9.8059
Brioni,7,44.91417,13.76222
Tutzing,4,47.90938,11.2803
