,desc/placeName/_ref,desc/placeName/__text,desc/location/geo/_lat,desc/location/geo/_long,note/_anchored,note/__text,_from,_to,_cert,_instant,geonames,pmb_id,geoname_id,download_link
32,http://www.geonames.org/2953507/,Ems,50.33544,7.71369,,,1879-09-02,1879-09-03,,False,https://sws.geonames.org/2953507/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/62041/detail,2953507.0,https://iiif.onb.ac.at/images/AKON/AK088_404/404/full/full/0/native.jpg
33,http://www.geonames.org/2946447/,Bonn,50.73438,7.09549,,,1879-09-04,1879-09-04,,False,https://sws.geonames.org/2946447/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/913/detail,2946447.0,https://iiif.onb.ac.at/images/AKON/AK076_212/212/full/full/0/native.jpg
34,http://www.geonames.org/2886242/,Köln,50.93333,6.95,,,1879-09-04,1879-09-04,,False,https://sws.geonames.org/2886242/,,2886242.0,https://iiif.onb.ac.at/images/AKON/AK111_252/252/full/full/0/native.jpg
35,http://www.geonames.org/2886242/,Köln,50.93333,6.95,,,1879-09-05,1879-09-05,,False,https://sws.geonames.org/2886242/,,2886242.0,https://iiif.onb.ac.at/images/AKON/AK111_252/252/full/full/0/native.jpg
36,http://www.geonames.org/2759794/,Amsterdam,52.37403,4.88969,,,1879-09-05,1879-09-05,,False,https://sws.geonames.org/2759794/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/40709/detail,2759794.0,https://iiif.onb.ac.at/images/AKON/AK114_108/108/full/full/0/native.jpg
37,http://www.geonames.org/2759794/,Amsterdam,52.37403,4.88969,,,1879-09-06,1879-09-11,,False,https://sws.geonames.org/2759794/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/40709/detail,2759794.0,https://iiif.onb.ac.at/images/AKON/AK114_108/108/full/full/0/native.jpg
38,http://www.geonames.org/2759794/,Amsterdam,52.37403,4.88969,,,1879-09-12,1879-09-12,,False,https://sws.geonames.org/2759794/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/40709/detail,2759794.0,https://iiif.onb.ac.at/images/AKON/AK114_108/108/full/full/0/native.jpg
39,http://www.geonames.org/2747373/,Haag,52.07667,4.29861,,,1879-09-12,1879-09-12,,False,https://sws.geonames.org/2747373/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/58810/detail,2747373.0,https://iiif.onb.ac.at/images/AKON/AK118_088/088/full/full/0/native.jpg
40,http://www.geonames.org/2747599/,Scheveningen,52.10461,4.27557,,,1879-09-12,1879-09-12,,False,https://sws.geonames.org/2747599/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/44313/detail,2747599.0,https://iiif.onb.ac.at/images/AKON/AK118_079/079/full/full/0/native.jpg
41,http://www.geonames.org/2747599/,Scheveningen,52.10461,4.27557,,,1879-09-13,1879-09-13,,False,https://sws.geonames.org/2747599/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/44313/detail,2747599.0,https://iiif.onb.ac.at/images/AKON/AK118_079/079/full/full/0/native.jpg
